article,referrer
https://ethresear.ch/t/pepc-dvt-pepc-with-no-changes-to-the-consensus-protocol/16514,https://www.twitter.com/freddmannen
https://ethresear.ch/t/three-dichotomies-in-epbs/16267,https://www.twitter.com/freddmannen
https://ethresear.ch/t/shared-sequencer-for-mev-protection-and-profitable-marketplace/15313,https://www.twitter.com/freddmannen
https://ethresear.ch/t/burning-mev-through-block-proposer-auctions/14029,https://www.twitter.com/freddmannen
https://ethresear.ch/t/single-slot-pbs-using-attesters-as-distributed-availability-oracle/11877,https://www.twitter.com/freddmannen
https://ethresear.ch/t/two-slot-proposer-builder-separation/10980,https://www.twitter.com/freddmannen
https://ethresear.ch/t/timing-games-in-proof-of-stake/13980,https://www.twitter.com/freddmannen
https://ethresear.ch/t/latency-arms-race-concerns-in-blockspace-markets/14957,https://www.twitter.com/freddmannen
https://ethresear.ch/t/unbundling-pbs-towards-protocol-enforced-proposer-commitments-pepc/13879,https://www.twitter.com/freddmannen
https://ethresear.ch/t/equivocation-attacks-in-mev-boost-and-epbs/15338,https://www.twitter.com/freddmannen
https://ethresear.ch/t/why-enshrine-proposer-builder-separation-a-viable-path-to-epbs/15710,https://www.twitter.com/freddmannen
https://ethresear.ch/t/increase-the-max-effective-balance-a-modest-proposal/15801,https://www.twitter.com/freddmannen
https://ethresear.ch/t/payload-timeliness-committee-ptc-an-epbs-design/16054,https://www.twitter.com/freddmannen
https://ethresear.ch/t/relays-in-a-post-epbs-world/16278,https://www.twitter.com/freddmannen
https://ethresear.ch/t/bid-cancellations-considered-harmful/15500,https://www.twitter.com/freddmannen
https://ethresear.ch/t/slashing-penalty-analysis-eip-7251/16509,https://www.twitter.com/freddmannen
https://ethresear.ch/t/no-free-lunch-a-new-inclusion-list-design/16389,https://www.twitter.com/freddmannen
https://ethresear.ch/t/cumulative-non-expiring-inclusion-lists/16520,https://www.twitter.com/freddmannen
https://ethresear.ch/t/estimating-inclusion-delays-for-censored-transactions/15115,https://www.twitter.com/freddmannen
https://ethresear.ch/t/game-theoretic-model-for-mev-boost-auctions-mma/16206,https://www.twitter.com/freddmannen
https://ethresear.ch/t/empirical-analysis-of-builders-behavioral-profiles-bbps/16327,https://www.twitter.com/freddmannen
https://drive.google.com/file/d/1M5Y_Dc52O3QTFerEkIRErl4_6ywDB4iq/view,https://www.twitter.com/freddmannen
https://drive.google.com/file/d/1mLrlYTy6SLPVg4by-PJ9wqEuFZJOjhG4/preview,https://www.twitter.com/freddmannen
https://mirror.xyz/ratedw3b.eth/xltDyY32_xQyDiHHphj230kc0iEQL43Pwb7b6t_fzWQ,https://www.twitter.com/freddmannen
https://notes.ethereum.org/@RMFhKOrSSEWxmqjZMOT1Ag/rJb_cq8Co,https://www.twitter.com/freddmannen
https://initc3org.medium.com/prof-fair-transaction-ordering-in-a-profit-seeking-world-b6dadd71f086,https://www.twitter.com/freddmannen
https://davidecrapis.notion.site/Rollups-are-Real-Rollup-Economics-2-0-2516079f62a745b598133a101ba5a3de,https://www.twitter.com/freddmannen
https://succulent-throat-0ce.notion.site/Block-Builder-Decentralization-is-coming-but-maybe-not-so-soon-6e54e7d7e1d34d61af55e5d98a51eb8b,https://www.twitter.com/freddmannen
https://succulent-throat-0ce.notion.site/MEV-Driven-Centralization-in-Ethereum-Part-2-by-Simon-Brown-Dec-2022-Medium-507efc380b454791b362dddc7e2e066c,https://www.twitter.com/freddmannen
https://verilog-solutions.notion.site/The-MEV-Conundrum-6d66001b150148739be14d73a8836903,https://www.twitter.com/freddmannen
https://efdn.notion.site/PEPC-FAQ-0787ba2f77e14efba771ff2d903d67e4,https://www.twitter.com/freddmannen
https://blog.metrika.co/relays-are-a-latency-game-303aadb393ce,https://www.twitter.com/freddmannen
https://archetype.mirror.xyz/McPqaV9WVyHhky1AAgGyS6DsZ8O0_OIBtED34sWpcUw,https://www.twitter.com/freddmannen
https://www.galaxy.com/insights/research/mev-the-rise-of-the-builders/,https://www.twitter.com/freddmannen
https://medium.com/@Prestwich/mev-c417d9a5eb3d,https://www.twitter.com/freddmannen
https://medium.com/@Prestwich/mev-the-next-five-years-63f84fffdf36,https://www.twitter.com/freddmannen
https://collective.flashbots.net/t/decentralized-crypto-needs-you-to-be-a-geographical-decentralization-maxi/1385,
https://vitalik.ca/general/2017/06/22/marketmakers.html,
https://writings.flashbots.net/order-flow-auctions-and-centralisation,https://www.twitter.com/unlock_VALue
https://vitalik.ca/general/2021/12/06/endgame.html,https://www.twitter.com/unlock_VALue
https://vitalik.ca/general/2021/05/23/scaling.html,https://www.twitter.com/unlock_VALue
https://medium.com/flashbots/frontrunning-the-mev-crisis-40629a613752,https://www.twitter.com/unlock_VALue
https://writings.flashbots.net/the-cost-of-resilience,https://www.twitter.com/unlock_VALue
https://writings.flashbots.net/the-future-of-mev-is-suave,https://www.twitter.com/unlock_VALue
https://simbro.medium.com/mev-driven-centralization-in-ethereum-ec829a214f18,https://www.twitter.com/unlock_VALue
https://writings.flashbots.net/geth-inside-sgx,https://www.twitter.com/unlock_VALue
https://collective.flashbots.net/t/quantifying-info-i-quantifying-the-information-leakage-of-computing-on-encrypted-transactions/1752,https://www.twitter.com/unlock_VALue
https://writings.flashbots.net/fcfs-and-front-running,https://www.twitter.com/unlock_VALue
https://frontier.tech/ethereums-blockspace-future,https://www.twitter.com/barnabemonnot
https://frontier.tech/a-tale-of-two-arbitrages,https://www.twitter.com/unlock_VALue
https://frontier.tech/builder-dominance-and-searcher-dependence,https://www.twitter.com/unlock_VALue
https://frontier.tech/the-next-steps-in-dex-design,https://www.twitter.com/unlock_VALue
https://frontier.tech/exploration-of-mev-latencies,https://www.twitter.com/unlock_VALue
https://frontier.tech/optimistic-relays-and-where-to-find-them,https://www.twitter.com/unlock_VALue
https://frontier.tech/the-nft-mev-landscape,https://www.twitter.com/unlock_VALue
